Trinidad and Tobago,TTO,2018,6.72,26250.3722429394
Austria,AUT,2018,11.96,55297.6182880367
Senegal,SEN,2018,0.76,3309.48617330672
Finland,FIN,2018,10.78,48130.2923921114
Mozambique,MOZ,2018,2.3,1289.73594800556
Maldives,MDV,2018,2.22,18795.5303498427
United Arab Emirates,ARE,2018,3.9,66968.2211775042
Thailand,THA,2018,8.3,18095.7365704368
Poland,POL,2018,11.71,31674.1316243417
Romania,ROU,2018,11.74,28523.4731832065
World,OWID_WRL,2018,6.18140363000971,16636.8480109565
Lithuania,LTU,2018,13.22,35427.4618636641
Montenegro,MNE,2018,11.47,20686.5759142606
Iraq,IRQ,2018,0.39,10346.2129581855
Uruguay,URY,2018,6.92,23035.0833880454
South Korea,KOR,2018,9.7,41948.3460057222
Bangladesh,BGD,2018,0.019,4440.85547046826
Bosnia and Herzegovina,BIH,2018,7.15,14386.7318547663
Libya,LBY,2018,0.019,15017.9935741811
Sao Tome and Principe,STP,2018,5.88,3993.27879583907
United Kingdom,GBR,2018,11.45,46037.9005384222
Estonia,EST,2018,9.23,35208.0239637019
Saint Kitts and Nevis,KNA,2018,8.94,25901.6333033394
Brunei,BRN,2018,0.48,60389.1846472589
Guyana,GUY,2018,6.89,12477.5767111562
Croatia,HRV,2018,9.23,27799.8433225132
Kenya,KEN,2018,2.78,4203.83827267811
Lebanon,LBN,2018,1.71,15588.1528714896
Mauritania,MRT,2018,0.036,5042.43119844404
Brazil,BRA,2018,7.42,14668.2561636292
Indonesia,IDN,2018,0.57,11371.7255560847
Guatemala,GTM,2018,2.45,8462.17210684372
Belgium,BEL,2018,11.08,51110.9584679336
Cape Verde,CPV,2018,5.6,6864.1852980816
Burkina Faso,BFA,2018,12.03,2120.33026783506
Colombia,COL,2018,5.74,14314.8555765268
Honduras,HND,2018,3.76,5680.36288396582
Papua New Guinea,PNG,2018,1.39,4190.0948949613
Saint Vincent and the Grenadines,VCT,2018,9.06,12466.4161360546
Ireland,IRL,2018,12.88,84303.3408922937
Mauritius,MUS,2018,4.35,22208.1381171868
Equatorial Guinea,GNQ,2018,7.23,20386.0138677131
Timor,TLS,2018,2.17,3051.66811727864
Kiribati,KIR,2018,0.46,2254.05923175595
Haiti,HTI,2018,2.73,2992.31041114318
Jordan,JOR,2018,0.69,10013.3976633388
Mexico,MEX,2018,5,19928.3956618582
Philippines,PHL,2018,6.86,8516.13654897274
Central African Republic,CAF,2018,2.38,933.10995060419
Liberia,LBR,2018,6.12,1497.00478720289
Somalia,SOM,2018,0.009,866.765302072035
Cyprus,CYP,2018,10.81,39559.4879646749
Panama,PAN,2018,7.98,31012.9461549459
India,IND,2018,5.54,6518.84505546914
Nauru,NRU,2018,3.71,13636.3609415279
Netherlands,NLD,2018,9.61,56060.9136269404
Laos,LAO,2018,10.72,7592.82947474583
Paraguay,PRY,2018,7.58,12827.7080209236
Dominica,DMA,2018,11.18,11537.0190725758
Italy,ITA,2018,7.84,42052.5563822519
Tuvalu,TUV,2018,1.52,3945.56367272662
Solomon Islands,SLB,2018,1.83,2697.64643055486
Bolivia,BOL,2018,4.43,8655.53149780443
Sudan,SDN,2018,0.51,4344.52988671066
Costa Rica,CRI,2018,4.87,20559.8604252658
Norway,NOR,2018,7.41,64341.2589026158
Cameroon,CMR,2018,5.65,3603.54827506808
Dominican Republic,DOM,2018,6.68,17711.7955337583
